local_path	basename	sha256_12	hash_match_mirror	status	embedded_hit
google_app_scripts/tdg_inventory_management/sales_update_main_dao_offchain_ledger.gs	sales_update_main_dao_offchain_ledger.gs	689447c9dbc7		EMBEDDED_IN:1wmgYPwfRDxpiboa8OH-C6Ndovklf8HaJY305n7dhRzs7BmUBQg7fL_sZ:Code.js	1wmgYPwfRDxpiboa8OH-C6Ndovklf8HaJY305n7dhRzs7BmUBQg7fL_sZ:Code.js
google_app_scripts/tdg_inventory_management/sales_update_managed_agl_ledgers.gs	sales_update_managed_agl_ledgers.gs	612be819482b		EMBEDDED_IN:1duQFfTO0Pj0lC4tPVNmMOhNOS1GvJgzqVxXbsEDu-eqt_64DwxvrOVyl:Code.js	1duQFfTO0Pj0lC4tPVNmMOhNOS1GvJgzqVxXbsEDu-eqt_64DwxvrOVyl:Code.js
google_app_scripts/tdg_inventory_management/web_app.gs	web_app.gs	89314b61f7e4	1QtK-InsHH6SBtxoxc33-y4vQvuNkbhlkUi_9S1X-AaEgIlSlygM1iZtP:Code.js	HASH_MATCH:1QtK-InsHH6SBtxoxc33-y4vQvuNkbhlkUi_9S1X-AaEgIlSlygM1iZtP:Code.js	
google_app_scripts/tdg_proposal/proposal_manager.gs	proposal_manager.gs	7c52c70f87a0	1Dh_QQUn8hGGo75RsPpsN-GMn-uFgw-akwyv3uSZgO140J3NfQzsnuu9s:Code.js	HASH_MATCH:1Dh_QQUn8hGGo75RsPpsN-GMn-uFgw-akwyv3uSZgO140J3NfQzsnuu9s:Code.js	
google_app_scripts/tdg_scoring/grok_scoring_for_telegram_and_whatsapp_logs.gs	grok_scoring_for_telegram_and_whatsapp_logs.gs	d5e4f3d4edf5		UNMAPPED	
google_app_scripts/tdg_scoring/importer_telegram_chatlogs_to_google_sheet.gs	importer_telegram_chatlogs_to_google_sheet.gs	f5dd0c4c330d		UNMAPPED	
google_app_scripts/tdg_scoring/transfer_scored_contributions_to_main_ledger.gs	transfer_scored_contributions_to_main_ledger.gs	ceab993cb12c	1-ts0WTM8J4nOWdI29I9NJLzPQBGqph3ajSB8d8qrAHINJaZynwxLzPx8:Code.js	HASH_MATCH:1-ts0WTM8J4nOWdI29I9NJLzPQBGqph3ajSB8d8qrAHINJaZynwxLzPx8:Code.js	
google_app_scripts/tdg_shipping_planner/shipping_planner_api.gs	shipping_planner_api.gs	57376e72a5f5		UNMAPPED	
google_app_scripts/webhooks/telegram_webhook_listener.gs	telegram_webhook_listener.gs	2c7a31e8b797		UNMAPPED	
google_app_scripts/wix_workflows/populate_wix_event.gs	populate_wix_event.gs	6da55850f23d		UNMAPPED	
